InstanceType,Region,AZ,SPS_Mean,SPS_STD,SpotPrice
m4.xlarge,us-east-1,use1-az3,3.0,0.0,0.1091
m4.xlarge,us-east-1,use1-az2,3.0,0.0,0.1115
c7g.large,us-east-1,use1-az2,3.0,0.0,0.0573
c7g.large,us-east-1,use1-az1,3.0,0.0,0.0654
c7g.large,us-east-1,use1-az4,3.0,0.0,0.0599
c7g.large,us-east-1,use1-az5,3.0,0.0,0.0599
c7g.large,us-east-1,use1-az6,3.0,0.0,0.0654
m5d.large,us-east-1,use1-az6,3.0,0.0,0.0536
m5d.large,us-east-1,use1-az4,3.0,0.0,0.0548
m5d.large,us-east-1,use1-az1,3.0,0.0,0.055
m5d.large,us-east-1,use1-az2,3.0,0.0,0.0582
m5d.large,us-east-1,use1-az5,3.0,0.0,0.058
r5ad.2xlarge,us-east-1,use1-az4,3.0,0.0,0.3022
r5ad.2xlarge,us-east-1,use1-az5,3.0,0.0,0.2967
r5ad.2xlarge,us-east-1,use1-az2,3.0,0.0,0.2784
r5ad.2xlarge,us-east-1,use1-az6,3.0,0.0,0.2612
c5.xlarge,us-east-1,use1-az2,3.0,0.0,0.1032
c5.xlarge,us-east-1,use1-az6,3.0,0.0,0.1084
c5.xlarge,us-east-1,use1-az5,3.0,0.0,0.1059
c5.xlarge,us-east-1,use1-az1,3.0,0.0,0.1123
c5.xlarge,us-east-1,use1-az4,3.0,0.0,0.0909
c6i.xlarge,us-east-1,use1-az2,3.0,0.0,0.1235
c6i.xlarge,us-east-1,use1-az4,3.0,0.0,0.1067
c6i.xlarge,us-east-1,use1-az1,3.0,0.0,0.1151
c6i.xlarge,us-east-1,use1-az5,3.0,0.0,0.1218
c6i.xlarge,us-east-1,use1-az6,3.0,0.0,0.108
c4.4xlarge,us-east-1,use1-az6,3.0,0.0,0.4041
c4.4xlarge,us-east-1,use1-az5,3.0,0.0,0.4953
c4.4xlarge,us-east-1,use1-az4,3.0,0.0,0.4066
c4.4xlarge,us-east-1,use1-az3,3.0,0.0,0.4848
c4.4xlarge,us-east-1,use1-az1,3.0,0.0,0.4424
c4.4xlarge,us-east-1,use1-az2,3.0,0.0,0.478
i4i.2xlarge,us-east-1,use1-az5,3.0,0.0,0.2282
i4i.2xlarge,us-east-1,use1-az6,3.0,0.0,0.2491
i4i.2xlarge,us-east-1,use1-az4,3.0,0.0,0.2488
i4i.2xlarge,us-east-1,use1-az1,3.0,0.0,0.2612
m6a.xlarge,us-east-1,use1-az6,3.0,0.0,0.1201
m6a.xlarge,us-east-1,use1-az5,3.0,0.0,0.1241
m6a.xlarge,us-east-1,use1-az4,3.0,0.0,0.111
m6a.xlarge,us-east-1,use1-az2,3.0,0.0,0.1203
r5n.xlarge,us-east-1,use1-az4,3.0,0.0,0.1299
r5n.xlarge,us-east-1,use1-az1,3.0,0.0,0.1291
r5n.xlarge,us-east-1,use1-az6,3.0,0.0,0.1292
r5n.xlarge,us-east-1,use1-az2,3.0,0.0,0.1292
r5n.xlarge,us-east-1,use1-az5,3.0,0.0,0.1266
t2.xlarge,us-east-1,use1-az2,3.0,0.0,0.1045
t2.xlarge,us-east-1,use1-az3,3.0,0.0,0.1166
t2.xlarge,us-east-1,use1-az4,3.0,0.0,0.0983
t2.xlarge,us-east-1,use1-az6,3.0,0.0,0.1138
t2.xlarge,us-east-1,use1-az1,3.0,0.0,0.1247
t2.xlarge,us-east-1,use1-az5,3.0,0.0,0.1256
c6gd.8xlarge,us-east-1,use1-az2,3.0,0.0,0.9726
c6gd.8xlarge,us-east-1,use1-az1,3.0,0.0,0.9653
c6gd.8xlarge,us-east-1,use1-az6,3.0,0.0,0.8224
c6gd.8xlarge,us-east-1,use1-az4,3.0,0.0,0.8631
r4.xlarge,us-east-1,use1-az6,3.0,0.0,0.1229
r4.xlarge,us-east-1,use1-az4,3.0,0.0,0.1311
r4.xlarge,us-east-1,use1-az5,3.0,0.0,0.109
r4.xlarge,us-east-1,use1-az1,3.0,0.0,0.1271
r4.xlarge,us-east-1,use1-az2,3.0,0.0,0.1211
r4.xlarge,us-east-1,use1-az3,3.0,0.0,0.1201
m4.4xlarge,us-east-1,use1-az6,3.0,0.0,0.4239
m4.4xlarge,us-east-1,use1-az3,3.0,0.0,0.5023
m4.4xlarge,us-east-1,use1-az5,3.0,0.0,0.4369
m4.4xlarge,us-east-1,use1-az4,3.0,0.0,0.4245
m4.4xlarge,us-east-1,use1-az2,3.0,0.0,0.4859
c5ad.large,us-east-1,use1-az2,3.0,0.0,0.0625
c5ad.large,us-east-1,use1-az5,3.0,0.0,0.0627
c5ad.large,us-east-1,use1-az1,3.0,0.0,0.0628
c5ad.large,us-east-1,use1-az6,3.0,0.0,0.063
c5ad.large,us-east-1,use1-az4,3.0,0.0,0.0632
f1.2xlarge,us-east-1,use1-az2,3.0,0.0,0.5014
m5ad.4xlarge,us-east-1,use1-az5,3.0,0.0,0.4354
m5ad.4xlarge,us-east-1,use1-az4,3.0,0.0,0.5033
m5ad.4xlarge,us-east-1,use1-az6,3.0,0.0,0.5856
m5ad.4xlarge,us-east-1,use1-az1,3.0,0.0,0.5042
m5ad.4xlarge,us-east-1,use1-az2,3.0,0.0,0.4659
r5.2xlarge,us-east-1,use1-az6,3.0,0.0,0.245
r5.2xlarge,us-east-1,use1-az1,3.0,0.0,0.2497
r5.2xlarge,us-east-1,use1-az4,3.0,0.0,0.2343
r5.2xlarge,us-east-1,use1-az2,3.0,0.0,0.2319
r5.2xlarge,us-east-1,use1-az5,3.0,0.0,0.1792
r6in.large,us-east-1,use1-az6,3.0,0.0,0.0586
r6in.large,us-east-1,use1-az4,3.0,0.0,0.0574
r6in.large,us-east-1,use1-az2,3.0,0.0,0.0632
r6in.large,us-east-1,use1-az5,3.0,0.0,0.0634
