InstanceType,Region,AZ,SPS_Mean,SPS_STD,SpotPrice
i3.8xlarge,us-west-2,usw2-az4,3.0,0.0,0.818
c5n.9xlarge,us-west-2,usw2-az3,3.0,0.0,0.9391
c5n.9xlarge,us-west-2,usw2-az2,3.0,0.0,0.7583
c5n.9xlarge,us-west-2,usw2-az1,3.0,0.0,0.9236
m6gd.xlarge,us-west-2,usw2-az3,3.0,0.0,0.1017
m6gd.xlarge,us-west-2,usw2-az1,3.0,0.0,0.1008
m6gd.xlarge,us-west-2,usw2-az4,3.0,0.0,0.0965
m6gd.xlarge,us-west-2,usw2-az2,3.0,0.0,0.0893
r4.large,us-west-2,usw2-az3,3.0,0.0,0.0732
r4.large,us-west-2,usw2-az1,3.0,0.0,0.0575
r4.large,us-west-2,usw2-az2,3.0,0.0,0.0566
c6g.2xlarge,us-west-2,usw2-az3,3.0,0.0,0.2151
c6g.2xlarge,us-west-2,usw2-az4,3.0,0.0,0.1641
c6g.2xlarge,us-west-2,usw2-az2,3.0,0.0,0.1635
c6g.2xlarge,us-west-2,usw2-az1,3.0,0.0,0.158
c6i.4xlarge,us-west-2,usw2-az4,3.0,0.0,0.3162
c6i.4xlarge,us-west-2,usw2-az3,3.0,0.0,0.303
c6i.4xlarge,us-west-2,usw2-az1,3.0,0.0,0.3519
c6i.4xlarge,us-west-2,usw2-az2,3.0,0.0,0.4132
i4g.8xlarge,us-west-2,usw2-az3,3.0,0.0,0.8218
i4g.8xlarge,us-west-2,usw2-az2,3.0,0.0,0.941
i4g.8xlarge,us-west-2,usw2-az1,3.0,0.0,0.9691
c7gn.4xlarge,us-west-2,usw2-az2,3.0,0.0,0.4165
c5d.9xlarge,us-west-2,usw2-az3,3.0,0.0,0.7546
c5d.9xlarge,us-west-2,usw2-az4,3.0,0.0,0.8167
c5d.9xlarge,us-west-2,usw2-az1,3.0,0.0,0.8432
c5d.9xlarge,us-west-2,usw2-az2,3.0,0.0,0.8135
r7iz.8xlarge,us-west-2,usw2-az4,3.0,0.0,0.9373
z1d.large,us-west-2,usw2-az3,3.0,0.0,0.0787
z1d.large,us-west-2,usw2-az1,3.0,0.0,0.1104
z1d.large,us-west-2,usw2-az2,3.0,0.0,0.1111
r6i.4xlarge,us-west-2,usw2-az1,3.0,0.0,0.4197
r6i.4xlarge,us-west-2,usw2-az3,3.0,0.0,0.5212
r6i.4xlarge,us-west-2,usw2-az2,3.0,0.0,0.4842
r6i.4xlarge,us-west-2,usw2-az4,3.0,0.0,0.5092
c6i.12xlarge,us-west-2,usw2-az1,3.0,0.0,0.9223
r6gd.8xlarge,us-west-2,usw2-az4,3.0,0.0,0.7684
r6gd.8xlarge,us-west-2,usw2-az3,3.0,0.0,0.8975
r6gd.8xlarge,us-west-2,usw2-az2,3.0,0.0,0.7909
r6gd.8xlarge,us-west-2,usw2-az1,3.0,0.0,0.8405
c6gn.4xlarge,us-west-2,usw2-az2,3.0,0.0,0.4528
c6gn.4xlarge,us-west-2,usw2-az3,3.0,0.0,0.3761
c6gn.4xlarge,us-west-2,usw2-az1,3.0,0.0,0.4071
c6gn.4xlarge,us-west-2,usw2-az4,3.0,0.0,0.3959
r6id.xlarge,us-west-2,usw2-az1,3.0,0.0,0.1019
r6id.xlarge,us-west-2,usw2-az4,3.0,0.0,0.1198
r6id.xlarge,us-west-2,usw2-az2,3.0,0.0,0.1017
r6id.xlarge,us-west-2,usw2-az3,3.0,0.0,0.095
r6gd.12xlarge,us-west-2,usw2-az4,3.0,0.0,0.9886
g4ad.4xlarge,us-west-2,usw2-az2,3.0,0.0,0.6178
g4ad.4xlarge,us-west-2,usw2-az1,3.0,0.0,0.6808
g4ad.4xlarge,us-west-2,usw2-az3,3.0,0.0,0.7465
m7g.2xlarge,us-west-2,usw2-az3,3.0,0.0,0.2301
m7g.2xlarge,us-west-2,usw2-az1,3.0,0.0,0.1651
m7g.2xlarge,us-west-2,usw2-az2,3.0,0.0,0.1705
r5b.large,us-west-2,usw2-az3,3.0,0.0,0.0491
r5b.large,us-west-2,usw2-az1,3.0,0.0,0.0422
r5b.large,us-west-2,usw2-az2,3.0,0.0,0.0443
t3a.small,us-west-2,usw2-az3,3.0,0.0,0.0124
t3a.small,us-west-2,usw2-az1,3.0,0.0,0.0133
t3a.small,us-west-2,usw2-az2,3.0,0.0,0.0151
t3a.small,us-west-2,usw2-az4,3.0,0.0,0.0121
c6id.4xlarge,us-west-2,usw2-az2,3.0,0.0,0.4818
c6id.4xlarge,us-west-2,usw2-az3,3.0,0.0,0.3677
c6id.4xlarge,us-west-2,usw2-az1,3.0,0.0,0.4778
c6id.4xlarge,us-west-2,usw2-az4,3.0,0.0,0.4817
c6gn.2xlarge,us-west-2,usw2-az1,3.0,0.0,0.1593
c6gn.2xlarge,us-west-2,usw2-az4,3.0,0.0,0.2118
