SpotPrice,Savings,SPS,AZ,Region,InstanceType,IF,time
0.003,70,3,usw1-az1,us-west-1,t4g.micro,2.5,2022-07-12 04:20:02+00:00
0.2196,70,3,apne2-az1,ap-northeast-2,i3.2xlarge,1.0,2022-07-12 04:20:02+00:00
0.1466,68,3,euw1-az1,eu-west-1,c6id.2xlarge,3.0,2022-07-12 04:20:02+00:00
0.0399,71,3,use2-az2,us-east-2,c6g.xlarge,3.0,2022-07-12 04:20:02+00:00
1.1543,63,3,euw1-az2,eu-west-1,c6gn.16xlarge,3.0,2022-07-12 04:20:02+00:00
1.0645,74,3,apne3-az3,ap-northeast-3,m4.16xlarge,2.5,2022-07-12 04:20:02+00:00
0.8814,70,3,apne1-az4,ap-northeast-1,g4dn.8xlarge,1.0,2022-07-12 04:20:02+00:00
0.03,83,3,eun1-az2,eu-north-1,r5dn.large,2.5,2022-07-12 04:20:02+00:00
1.1543,63,3,euw1-az3,eu-west-1,c6gn.16xlarge,3.0,2022-07-12 04:20:02+00:00
0.0278,70,3,usw2-az2,us-west-2,t2.large,3.0,2022-07-12 04:20:02+00:00
0.0015,68,3,usw2-az2,us-west-2,t3a.nano,3.0,2022-07-12 04:20:02+00:00
0.0311,69,3,apse1-az3,ap-southeast-1,c5ad.large,2.5,2022-07-12 04:20:02+00:00
0.152,61,3,euw1-az3,eu-west-1,t3.2xlarge,3.0,2022-07-12 04:20:02+00:00
0.2034,53,1,cac1-az2,ca-central-1,g4ad.xlarge,1.0,2022-07-12 04:20:02+00:00
0.8814,70,3,apne1-az2,ap-northeast-1,g4dn.8xlarge,1.0,2022-07-12 04:20:02+00:00
0.2158,51,3,use1-az2,us-east-1,m4.2xlarge,2.0,2022-07-12 04:20:02+00:00
0.3621,71,3,use1-az4,us-east-1,r5b.2xlarge,3.0,2022-07-12 04:20:02+00:00
0.0408,75,3,sae1-az2,sa-east-1,c5n.large,2.5,2022-07-12 04:20:02+00:00
0.1464,80,3,apne1-az2,ap-northeast-1,r5n.2xlarge,3.0,2022-07-12 04:20:02+00:00
1.0914,73,3,apne1-az2,ap-northeast-1,r5a.8xlarge,1.5,2022-07-12 04:20:02+00:00
0.0677,73,3,usw1-az1,us-west-1,r5a.xlarge,3.0,2022-07-12 04:20:02+00:00
